hostname,ip_address,serial_number,site_name,device_model,installed_date
agg-fw-000,10.162.54.176,SN0000,Dallas Core,MX480,2021-11-21
agg-fw-001,10.121.21.128,SN0001,SF Branch,WS-C2960X,2023-08-03
access-sw-002,10.147.107.206,SN0002,Dallas Core,SRX300,2021-04-18
core-rtr-003,10.29.210.65,SN0003,Dallas Core,ASR1001,2022-04-13
agg-sw-004,10.164.85.36,SN0004,NYC Data Center,SRX300,2022-03-08
access-rtr-005,10.159.144.50,SN0005,Dallas Core,SRX300,2024-01-21
dist-fw-006,10.42.250.45,SN0006,Chicago Office,ASR1001,2021-06-06
core-rtr-007,10.205.254.12,SN0007,Chicago Office,ISR4431,2024-03-28
access-rtr-008,10.21.53.247,SN0008,LA Hub,SRX300,2021-08-07
edge-fw-009,10.178.208.140,SN0009,Dallas Core,ISR4431,2022-10-30
access-rtr-010,10.223.76.18,SN0010,LA Hub,ISR4431,2024-01-20
access-rtr-011,10.36.40.14,SN0011,NYC Data Center,WS-C2960X,2024-11-29
core-fw-012,10.188.255.21,SN0012,Dallas Core,WS-C2960X,2022-02-15
dist-rtr-013,10.167.113.130,SN0013,SF Branch,SRX300,2021-05-04
core-rtr-014,10.214.38.191,SN0014,Chicago Office,MX480,2024-05-03
access-rtr-015,10.122.93.48,SN0015,Chicago Office,WS-C2960X,2021-04-11
dist-rtr-016,10.212.55.34,SN0016,Dallas Core,MX480,2022-08-23
access-fw-017,10.24.45.65,SN0017,Dallas Core,ASR1001,2023-12-11
edge-rtr-018,10.183.253.160,SN0018,NYC Data Center,WS-C2960X,2022-05-30
dist-sw-019,10.53.217.200,SN0019,Dallas Core,ASR1001,2024-05-26
access-fw-020,10.177.44.95,SN0020,Chicago Office,ASR1001,2021-09-30
core-rtr-021,10.56.152.135,SN0021,Chicago Office,SRX300,2022-05-20
dist-sw-022,10.82.204.70,SN0022,SF Branch,WS-C2960X,2021-01-24
agg-rtr-023,10.157.71.216,SN0023,NYC Data Center,SRX300,2022-08-27
core-fw-024,10.211.34.14,SN0024,LA Hub,SRX300,2022-09-01
access-rtr-025,10.176.94.111,SN0025,Chicago Office,MX480,2021-09-11
access-sw-026,10.99.30.203,SN0026,Dallas Core,SRX300,2022-05-14
edge-sw-027,10.132.84.198,SN0027,LA Hub,ASR1001,2023-06-29
access-fw-028,10.6.40.193,SN0028,LA Hub,MX480,2024-07-03
dist-fw-029,10.146.92.222,SN0029,Chicago Office,ISR4431,2022-02-16
